Points:0,Exx,Eyy,Ezz,Exy,Eyz,Exz,Stress-xx,Stress-yy,Stress-zz,Stress-xy,Stress-yz,Stress-xz
1694.3,-0.00224983,0.00207887,0.00066314,-1.187165E-06,1.820231E-05,0.00062228,-0.065434,102.16,99.946,7.3486,-0.0019628,0.030325
1694.4,-0.00224983,0.00207887,0.00066314,-1.187165E-06,1.820231E-05,0.00062228,-0.065434,102.16,99.946,7.3486,-0.0019628,0.030325
1694.4,-0.00224983,0.00207887,0.00066314,-1.187165E-06,1.820231E-05,0.00062228,-0.065434,102.16,99.946,7.3486,-0.0019628,0.030325
1694.5,-0.00224983,0.00207887,0.00066314,-1.187165E-06,1.820231E-05,0.00062228,-0.065434,102.16,99.946,7.3486,-0.0019628,0.030325
1694.6,-0.00224983,0.00207887,0.00066314,-1.187165E-06,1.820231E-05,0.00062228,-0.065434,102.16,99.946,7.3486,-0.0019628,0.030325
1694.6,-0.00224983,0.00207887,0.00066314,-1.187165E-06,1.820231E-05,0.00062228,-0.065434,102.16,99.946,7.3486,-0.0019628,0.030325
1694.7,-0.00224983,0.00207887,0.00066314,-1.187165E-06,1.820231E-05,0.00062228,-0.065434,102.16,99.946,7.3486,-0.0019628,0.030325
1694.7,-0.00224983,0.00207887,0.00066314,-1.187165E-06,1.820231E-05,0.00062228,-0.065434,102.16,99.946,7.3486,-0.0019628,0.030325
1694.8,-0.00224983,0.00207887,0.00066314,-1.187165E-06,1.820231E-05,0.00062228,-0.065434,102.16,99.946,7.3486,-0.0019628,0.030325
1694.9,-0.00224983,0.00207887,0.00066314,-1.187165E-06,1.820231E-05,0.00062228,-0.065434,102.16,99.946,7.3486,-0.0019628,0.030325
1694.9,-0.00224983,0.00207887,0.00066314,-1.187165E-06,1.820231E-05,0.00062228,-0.065434,102.16,99.946,7.3486,-0.0019628,0.030325
1695,-0.00224983,0.00207887,0.00066314,-1.187165E-06,1.820231E-05,0.00062228,-0.065434,102.16,99.946,7.3486,-0.0019628,0.030325
1695,-0.00224674,0.00207626,0.00066305,-7.98074E-07,1.222592E-05,0.00062148,-0.0029419,102.41,99.798,7.3623,-0.0014608,0.022621
1695.1,-0.00224674,0.00207626,0.00066305,-7.98074E-07,1.222592E-05,0.00062148,-0.0029419,102.41,99.798,7.3623,-0.0014608,0.022621
1695.2,-0.00224674,0.00207626,0.00066305,-7.98074E-07,1.222592E-05,0.00062148,-0.0029419,102.41,99.798,7.3623,-0.0014608,0.022621
1695.2,-0.00224674,0.00207626,0.00066305,-7.98074E-07,1.222592E-05,0.00062148,-0.0029419,102.41,99.798,7.3623,-0.0014608,0.022621
1695.3,-0.00224674,0.00207626,0.00066305,-7.98074E-07,1.222592E-05,0.00062148,-0.0029419,102.41,99.798,7.3623,-0.0014608,0.022621
1695.3,-0.00224674,0.00207626,0.00066305,-7.98074E-07,1.222592E-05,0.00062148,-0.0029419,102.41,99.798,7.3623,-0.0014608,0.022621
1695.4,-0.00224674,0.00207626,0.00066305,-7.98074E-07,1.222592E-05,0.00062148,-0.0029419,102.41,99.798,7.3623,-0.0014608,0.022621
1695.5,-0.00224674,0.00207626,0.00066305,-7.98074E-07,1.222592E-05,0.00062148,-0.0029419,102.41,99.798,7.3623,-0.0014608,0.022621
1695.5,-0.00224674,0.00207626,0.00066305,-7.98074E-07,1.222592E-05,0.00062148,-0.0029419,102.41,99.798,7.3623,-0.0014608,0.022621
1695.6,-0.00224674,0.00207626,0.00066305,-7.98074E-07,1.222592E-05,0.00062148,-0.0029419,102.41,99.798,7.3623,-0.0014608,0.022621
1695.6,-0.00224674,0.00207626,0.00066305,-7.98074E-07,1.222592E-05,0.00062148,-0.0029419,102.41,99.798,7.3623,-0.0014608,0.022621
1695.7,-0.00224674,0.00207626,0.00066305,-7.98074E-07,1.222592E-05,0.00062148,-0.0029419,102.41,99.798,7.3623,-0.0014608,0.022621
1695.8,-0.00224674,0.00207626,0.00066305,-7.98074E-07,1.222592E-05,0.00062148,-0.0029419,102.41,99.798,7.3623,-0.0014608,0.022621
1695.8,-0.00224674,0.00207626,0.00066305,-7.98074E-07,1.222592E-05,0.00062148,-0.0029419,102.41,99.798,7.3623,-0.0014608,0.022621
1695.9,-0.00224674,0.00207626,0.00066305,-7.98074E-07,1.222592E-05,0.00062148,-0.0029419,102.41,99.798,7.3623,-0.0014608,0.022621
1695.9,-0.00224674,0.00207626,0.00066305,-7.98074E-07,1.222592E-05,0.00062148,-0.0029419,102.41,99.798,7.3623,-0.0014608,0.022621
1696,-0.00224674,0.00207626,0.00066305,-7.98074E-07,1.222592E-05,0.00062148,-0.0029419,102.41,99.798,7.3623,-0.0014608,0.022621
1696.1,-0.00224372,0.00207368,0.00066297,-0.000000504,7.72522E-06,0.00062069,0.060219,102.76,99.54,7.3828,-0.0010443,0.016256
1696.1,-0.00224372,0.00207368,0.00066297,-0.000000504,7.72522E-06,0.00062069,0.060219,102.76,99.54,7.3828,-0.0010443,0.016256
1696.2,-0.00224372,0.00207368,0.00066297,-0.000000504,7.72522E-06,0.00062069,0.060219,102.76,99.54,7.3828,-0.0010443,0.016256
1696.2,-0.00224372,0.00207368,0.00066297,-0.000000504,7.72522E-06,0.00062069,0.060219,102.76,99.54,7.3828,-0.0010443,0.016256
1696.3,-0.00224372,0.00207368,0.00066297,-0.000000504,7.72522E-06,0.00062069,0.060219,102.76,99.54,7.3828,-0.0010443,0.016256
1696.4,-0.00224372,0.00207368,0.00066297,-0.000000504,7.72522E-06,0.00062069,0.060219,102.76,99.54,7.3828,-0.0010443,0.016256
